Datetime,dewptm,pressurem,wdird,tempm,vism,wspdm,hum
2014-02-13 06:20:00,2.0,989.0,170.0,3.0,10.0,16.7,93.0
2014-02-13 13:50:00,1.0,989.0,200.0,7.0,10.0,14.8,66.0
2014-02-13 06:00:00,1.0,990.0,170.0,2.0,11.0,13.0,91.0
2014-02-13 03:00:00,1.0,992.0,150.0,3.0,8.0,20.4,84.0
2014-02-13 13:00:00,1.0,990.0,190.0,6.0,24.0,20.4,62.0
2014-02-13 18:50:00,0.0,991.0,180.0,4.0,10.0,13.0,75.0
2014-02-13 13:20:00,1.0,990.0,0.0,6.0,10.0,16.7,70.0
2014-02-13 15:00:00,1.0,990.0,180.0,6.0,24.0,14.8,56.0
2014-02-13 08:50:00,2.0,989.0,180.0,4.0,10.0,13.0,87.0
2014-02-13 21:50:00,0.0,993.0,190.0,4.0,10.0,7.4,75.0
2014-02-13 08:00:00,2.0,990.0,170.0,3.0,11.0,16.7,88.0
2014-02-13 07:50:00,2.0,989.0,170.0,3.0,10.0,16.7,93.0
2014-02-13 08:20:00,2.0,989.0,180.0,4.0,10.0,14.8,87.0
2014-02-13 21:20:00,0.0,993.0,180.0,3.0,10.0,7.4,81.0
2014-02-13 11:50:00,2.0,990.0,200.0,6.0,10.0,18.5,76.0
2014-02-13 11:20:00,2.0,990.0,200.0,6.0,10.0,18.5,76.0
2014-02-13 17:50:00,0.0,991.0,190.0,5.0,10.0,13.0,70.0
2014-02-13 11:00:00,2.0,990.0,190.0,6.0,20.0,14.8,69.0
2014-02-13 05:50:00,1.0,989.0,170.0,2.0,10.0,16.7,93.0
2014-02-13 20:50:00,0.0,993.0,170.0,3.0,10.0,7.4,81.0
2014-02-13 20:20:00,0.0,992.0,190.0,4.0,10.0,11.1,75.0
2014-02-13 16:00:00,0.0,990.0,200.0,6.0,22.0,13.0,55.0
2014-02-13 23:50:00,0.0,994.0,160.0,2.0,10.0,3.7,87.0
2014-02-13 21:00:00,0.0,993.0,160.0,3.0,22.0,7.4,73.0
2014-02-13 07:20:00,2.0,989.0,180.0,3.0,10.0,11.1,93.0
2014-02-13 03:20:00,1.0,991.0,160.0,3.0,7.0,20.4,87.0
2014-02-13 07:00:00,2.0,990.0,170.0,3.0,10.0,14.8,86.0
2014-02-13 15:50:00,0.0,990.0,190.0,6.0,10.0,13.0,66.0
2014-02-13 03:50:00,1.0,990.0,170.0,2.0,7.0,20.4,93.0
2014-02-13 04:00:00,1.0,991.0,160.0,2.0,6.0,22.2,87.0
2014-02-13 12:00:00,2.0,990.0,190.0,6.0,18.0,16.7,66.0
2014-02-13 04:20:00,1.0,990.0,170.0,2.0,5.0,18.5,93.0
2014-02-13 12:20:00,2.0,990.0,190.0,6.0,10.0,14.8,76.0
2014-02-13 12:50:00,2.0,989.0,190.0,6.0,10.0,16.7,76.0
2014-02-13 22:50:00,0.0,994.0,200.0,3.0,10.0,1.9,81.0
2014-02-13 09:00:00,2.0,990.0,180.0,4.0,11.0,16.7,85.0
2014-02-13 09:20:00,2.0,989.0,180.0,4.0,10.0,16.7,87.0
2014-02-13 09:50:00,2.0,989.0,180.0,4.0,10.0,16.7,87.0
2014-02-13 18:00:00,0.0,992.0,180.0,5.0,23.0,13.0,62.0
2014-02-13 05:20:00,1.0,990.0,170.0,2.0,10.0,18.5,93.0
2014-02-13 15:20:00,1.0,989.0,190.0,6.0,10.0,14.8,70.0
