;City;Name;Ticket;Price;;ID;Room;Date;Website;;Type;Logo;Genre
1;Aarhus C;KAMMERKONCERT;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29048/46773/;85.00 - 115.00 DKK;1403593223;46773;Symfonisk Sal;2014-09-21T15:00:00;http://www.musikhusetaarhus.dk/kalender/29048/;901;Musik;http://static.billetlugen.dk/images/events/b/29048.jpg;Klassisk
0;Aarhus C;Sanne Salomonsen Hjem 2014;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/31483/42105/;295.00 DKK;1398409215;42105;Store Sal;2014-04-24T20:00:00;http://www.musikhusetaarhus.dk/kalender/31483/;230;Musik;http://static.billetlugen.dk/images/events/b/31483.jpg;Rock,Pop
0;Aarhus C;Jane & Shane og John Sheahan;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/31803/42979/;250.00 DKK;1398495614;42979;Lille Sal;2014-04-25T19:30:00;http://www.musikhusetaarhus.dk/kalender/31803/;292;Musik;http://static.billetlugen.dk/images/events/b/31803.jpg;Folk
0;Aarhus C;Scandinavian Saxophone Festival-Times Again;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29210/46785/;Gratis;1397718013;46785;Kammermusiksalen;2014-04-16T19:30:00;http://www.musikhusetaarhus.dk/kalender/29210/;554;Musik;http://static.billetlugen.dk/images/events/b/29210.jpg;Klassisk,Gratis
0;Aarhus C;H.P. Lange;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29289/45099/;Gratis;1397804412;45099;Caféen;2014-04-17T13:00:00;http://www.musikhusetaarhus.dk/kalender/29289/;413;Musik;http://static.billetlugen.dk/images/events/b/29289.jpg;Koncert,Gratis
0;Aarhus C;Rasmus Skov Borring, soloklaver;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32351/44031/;Gratis;1397977213;44031;Caféen;2014-04-19T13:00:00;http://www.musikhusetaarhus.dk/kalender/32351/;334;Musik;http://static.billetlugen.dk/images/events/b/32351.jpg;Koncert,Gratis
0;Aarhus C;Mikkel Rønnow & Anna Vaupel;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32834/45248/;Gratis;1398063613;45248;Caféen;2014-04-20T13:00:00;http://www.musikhusetaarhus.dk/kalender/32834/;432;Musik;http://static.billetlugen.dk/images/events/b/32834.jpg;Musical,Opera/Operette,Gratis
0;Aarhus C;SPOT Festival 2014;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33768/47633/;Billet;1399186813;47633;Musikhuset Aarhus;2014-05-03T00:00:00;http://www.musikhusetaarhus.dk/kalender/33768/;628;Musik;http://static.billetlugen.dk/images/events/b/33768.jpg;null
0;Aarhus C;SPOT Festival 2014;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33768/47630/;Billet;1399186813;47630;Musikhuset Aarhus;2014-05-01T00:00:00;http://www.musikhusetaarhus.dk/kalender/33768/;626;Musik;http://static.billetlugen.dk/images/events/b/33768.jpg;null
0;Aarhus C;SPOT Festival 2014;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33768/47634/;Billet;1399186813;47634;Musikhuset Aarhus;2014-05-04T00:00:00;http://www.musikhusetaarhus.dk/kalender/33768/;629;Musik;http://static.billetlugen.dk/images/events/b/33768.jpg;null
